betId,marketId,matchName,playerName,side,odds,stake,liability,action,reason,placedAt,settledAt,pnl,dryRun,estimatedWinPnL,estimatedLossPnL
DRY-1778592541874-7536,1.258031624,Shuai Zhang v Himeno Sakatsume,Shuai Zhang,BACK,1.55,2,2,BET_PLACED,"Strat7: set 2 complete 6-2 (fav @ 3.80 pre-match), back playerA @ 1.55",2026-05-12T13:29:01.875Z,,,true,1.1,-2
DRY-1778592541915-2453,1.258031624,Shuai Zhang v Himeno Sakatsume,Shuai Zhang,BACK,1.55,2,2,BET_PLACED,"Strat11: set 2 complete 6-2 (fav @ 3.80 pre-match), back playerA @ 1.55",2026-05-12T13:29:01.916Z,,,true,1.1,-2
DRY-1778592541964-7598,1.258031624,Shuai Zhang v Himeno Sakatsume,Shuai Zhang,BACK,1.55,2,2,BET_PLACED,"Strat12: set 2 complete 6-2 (fav @ 3.80 pre-match), back playerA @ 1.55",2026-05-12T13:29:01.964Z,,,true,1.1,-2
DRY-1778590341494-1244,1.258031624,Shuai Zhang v Himeno Sakatsume,Shuai Zhang,BACK,3.25,2,2,DRY_WIN,Match finished — won,2026-05-12T12:52:21.495Z,2026-05-12T13:53:32.009Z,4.5,true,4.5,-2
DRY-1778592541874-7536,1.258031624,Shuai Zhang v Himeno Sakatsume,Shuai Zhang,BACK,1.55,2,2,DRY_WIN,Match finished — won,2026-05-12T13:29:01.875Z,2026-05-12T13:53:32.010Z,1.1,true,1.1,-2
DRY-1778592541915-2453,1.258031624,Shuai Zhang v Himeno Sakatsume,Shuai Zhang,BACK,1.55,2,2,DRY_WIN,Match finished — won,2026-05-12T13:29:01.916Z,2026-05-12T13:53:32.010Z,1.1,true,1.1,-2
DRY-1778592541964-7598,1.258031624,Shuai Zhang v Himeno Sakatsume,Shuai Zhang,BACK,1.55,2,2,DRY_WIN,Match finished — won,2026-05-12T13:29:01.964Z,2026-05-12T13:53:32.011Z,1.1,true,1.1,-2
DRY-1778595292158-4737,1.258040117,Luciano Darderi v Alexander Zverev,Luciano Darderi,BACK,2.86,2,2,BET_PLACED,"Strat7: set 2 complete 7-6 (fav @ 1.20 pre-match), back playerA @ 2.86",2026-05-12T14:14:52.159Z,,,true,3.72,-2
DRY-1778595457170-7421,1.258040117,Luciano Darderi v Alexander Zverev,Luciano Darderi,BACK,1.86,2,2,BET_PLACED,"Strat11: set 2 complete 7-6 (fav @ 1.20 pre-match), back playerA @ 2.1",2026-05-12T14:17:37.170Z,,,true,1.72,-2
DRY-1778595292158-4737,1.258040117,Luciano Darderi v Alexander Zverev,Luciano Darderi,BACK,2.86,2,2,DRY_WIN,Match finished — won,2026-05-12T14:14:52.159Z,2026-05-12T14:41:32.322Z,3.72,true,3.72,-2
DRY-1778595457170-7421,1.258040117,Luciano Darderi v Alexander Zverev,Luciano Darderi,BACK,1.86,2,2,DRY_WIN,Match finished — won,2026-05-12T14:17:37.170Z,2026-05-12T14:41:32.322Z,1.72,true,1.72,-2
DRY-1778601057743-4564,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,3.1,2,2,BET_PLACED,"Strat9: set 1 complete 3-6 (fav @ 1.30 pre-match), back playerA @ 3.1",2026-05-12T15:50:57.744Z,,,true,4.2,-2
DRY-1778604463082-1673,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,1.66,2,2,BET_PLACED,"Strat7: set 2 complete 6-4 (fav @ 4.20 pre-match), back playerA @ 2.38",2026-05-12T16:47:43.082Z,,,true,1.32,-2
DRY-1778604463130-8307,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,1.66,2,2,BET_PLACED,"Strat11: set 2 complete 6-4 (fav @ 4.20 pre-match), back playerA @ 2.38",2026-05-12T16:47:43.131Z,,,true,1.32,-2
DRY-1778604463203-8065,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,1.66,2,2,BET_PLACED,"Strat12: set 2 complete 6-4 (fav @ 4.20 pre-match), back playerA @ 2.38",2026-05-12T16:47:43.204Z,,,true,1.32,-2
DRY-1778604778115-7974,1.258034503,Yue Yuan v Mayar Sherif,Yue Yuan,BACK,1.65,2,2,BET_PLACED,"Strat7: set 2 complete 6-0 (fav @ 1.46 pre-match), back playerA @ 1.65",2026-05-12T16:52:58.115Z,,,true,1.3,-2
DRY-1778604778165-9216,1.258034503,Yue Yuan v Mayar Sherif,Yue Yuan,BACK,1.65,2,2,BET_PLACED,"Strat11: set 2 complete 6-0 (fav @ 1.46 pre-match), back playerA @ 1.65",2026-05-12T16:52:58.165Z,,,true,1.3,-2
DRY-1778601057743-4564,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,3.1,2,2,DRY_WIN,Match finished — won,2026-05-12T15:50:57.744Z,2026-05-12T17:11:38.226Z,4.2,true,4.2,-2
DRY-1778604463082-1673,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,1.66,2,2,DRY_WIN,Match finished — won,2026-05-12T16:47:43.082Z,2026-05-12T17:11:38.226Z,1.32,true,1.32,-2
DRY-1778604463130-8307,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,1.66,2,2,DRY_WIN,Match finished — won,2026-05-12T16:47:43.131Z,2026-05-12T17:11:38.227Z,1.32,true,1.32,-2
DRY-1778604463203-8065,1.258078026,Andrey Rublev v Nikoloz Basilashvili,Andrey Rublev,BACK,1.66,2,2,DRY_WIN,Match finished — won,2026-05-12T16:47:43.204Z,2026-05-12T17:11:38.227Z,1.32,true,1.32,-2
